where,video_id,video_title,channel_title,video_url,author_or_field,text_snippet,matched_numbers,matched_keywords
comment,JEPCd26ATLE,धरती का सबसे मजबूत कवचधारी जानवर। | Pangolin Attacked By Hyena And Lion. | #pangolin #lion | #shorts,Only D. Facts,https://www.youtube.com/watch?v=JEPCd26ATLE,@AnkushRaj-u4f,Sudi irl idm tak😅😅😅😅😅😅😢😢😢😂,,dm
comment,JEPCd26ATLE,धरती का सबसे मजबूत कवचधारी जानवर। | Pangolin Attacked By Hyena And Lion. | #pangolin #lion | #shorts,Only D. Facts,https://www.youtube.com/watch?v=JEPCd26ATLE,@user-us6qv2xu6u,"Tor sakta hain,admi ne tor ke khaya hain,woh bhi Kuki-terrorists logon ne !",,dm
comment,4s0uSmECs50,Pangolin: Kulu’s Journey | Official Trailer | Netflix,Netflix,https://www.youtube.com/watch?v=4s0uSmECs50,@ruthy6150,I have fallen in love with Kulu what a lovely little harmless creature. Because of kulu I now donate to the pangolin man to help re educate the former poachers and natives in the area. That is one way to help them thrive. I have a car sticker and a tee shirt with pangolins on and get lots of enquiries about what are pangolins. It’s a bit of help in an area where I can never hope to see a pangolin (England) but people can be touched by this amazing creature and his story and may be moved to help.,,poach
comment,4s0uSmECs50,Pangolin: Kulu’s Journey | Official Trailer | Netflix,Netflix,https://www.youtube.com/watch?v=4s0uSmECs50,@Lion_Heart_Zimbabwe,"My family and I once had the opportunity to take care of a young female pangolin for a few days in 2013 here in Zimbabwe 🇿🇼. Just like Kulu, she had been rescued from poachers. She was the sweetest, most angelic  little soul. They really are adorable little beings with such characters. It was an honour, taking her out for her forages around the game reserve we lived in. She was eventually given to a pangolin sanctuary and successfully rewilded. I always will treasure our time with her. 🤍💛🙏🏻🙏🏻😇😇🇿🇼🇿🇼",,poach
comment,4s0uSmECs50,Pangolin: Kulu’s Journey | Official Trailer | Netflix,Netflix,https://www.youtube.com/watch?v=4s0uSmECs50,@okami6074,"Thank you for this film. Every single person ive ever met and talked about Pangolins has misidentified it as a porcupine or an anteater  And i live in india which is apparently one of the places this beautiful creature lives. A few months ago one was rescued from poachers near my hometown and my own sweet mother was one of those people. People NEED to know about these gems lest we lose another to our ""progress"" ❤❤ God's work, guys God's work ❤❤",,poach
comment,4s0uSmECs50,Pangolin: Kulu’s Journey | Official Trailer | Netflix,Netflix,https://www.youtube.com/watch?v=4s0uSmECs50,@AaronLaLux,does kulu journey to a wet market in wuhan? asking for a friend 👀,,skin
comment,4s0uSmECs50,Pangolin: Kulu’s Journey | Official Trailer | Netflix,Netflix,https://www.youtube.com/watch?v=4s0uSmECs50,@RollinBoy,They truly look like a nervous lil guy asking a girl out to the prom,,skin
comment,gPq2Ca1_3Ho,पैंगोलिन का शिकार करने की नाकाम कोशिश शेरनी की। | Pangolin Vs. Lioness | #pangolin #lioness |#shorts,Only D. Facts,https://www.youtube.com/watch?v=gPq2Ca1_3Ho,@strolleryouth,Tiger b nhi 😂,,tiger
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@achillesserrano4746,"I bought the laptop..  I dealt with system76 on 3 separate occasions, but this laptop is very buggy. I returned  it.. warning it they are very slow on returns.  I will not do business with them again..",,deal
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@VinceAggrippino,"5:22 Why is an AMD CPU better for Linux users? Some light searching around the web seems to suggest that Linux runs equally well on either.  I _did_ find some comments about Linux Torvalds' preference as well as general commentary about support for Free / Open Source Software ideals, but these don't seem likely to have any practical effect at my level as a normal user.",,deal
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@Jason-fv4rg,I've been shopping around for a new laptop for a while and this seals the deal. Great review.,,deal
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@matusa6714,The deal breaker is no charging with usb c,,deal
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@harryp.6847,"What did I think of the review? Overall good, though would be even better with info on battery life, weight, screen brightness and price. Also does it have a webcam? Is it possible to video call your friends on windows and mac computers now that Skype is dead? Just some ideas to cover in your next video. Keep up the good work. Cheers",,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@brullov_labs,"ThinkPads design is the best imo, but the price is too high for the specs they have.",,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@Frank-pw9sz,"Sorry Jay, this laptop sucks. To wit:  1. Nothing about the trackpad is good or decent. It's inconsistent, it sounds cheap, looks cheap, feels cheap, works cheap, honestly it feels like what a toy trackpad would feel like if that were a thing. 2. The keyboard has a ton of flex. It looks a lot nicer than it feels. 3. The 6 hours of battery life is more like 2-3. 4. Suspend uses as much battery as just leaving the laptop open and awake. At first I thought it wasn't going into a suspend state, but journalctl says it was - but it was still burning enough battery that it was dead in the morning. This was true in Pop!_OS and Linux Mint 22.1 Beta, which were the only two distros I tried that were able to detect the bluetooth card (this was a few days before LM 22.1 was released - 22.0 didn't work with the bluetooth). I suspect this is a Debian/Ubuntu issue, see below. 5. The USB-C port was loose. It was 50/50 whether or not the laptop was charging at any given time.  I returned mine and replaced it with a Thinkpad E16 Gen 2, which was $300 less for similar memory/storage options, and dare I say a slightly snappier processor. The Thinkpad also had power management issues related to suspend while running Linux Mint 22.1, which disappeared after I installed Fedora 41.  Luckily System76 has a great return policy. If you do buy this, be gentle with it and save all of the packaging.",6234221221,
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@964tractorboy,I'd be very happy to have one in my life. The RAM and SSD upgrade prices are more than reasonable. Compared to some...,,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@Winnetou17,"3:55 WRONG 2560x1600 or 2560x1440 is NOT ""2K"". Not even close. I can't wait for this misinformation to die out. STOP USING 2K as a resolution name.  2K is 2048x1080 or 1920x1080 (and a few other variations close to these resolutions). Even without this information, knowing 4K and 8K would induce that 2K should be 1920 horizontal pixels, not 2560.",8219202560,
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@voice5sur5,Sys76 is the linux apple. Too overpriced for a laptop without a dGPU.,,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@iceslayer777,Not shocking to me one bit. Apple is known to charge you luxury prices for the most basic kind of upgrades in performance.,,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@donanderson6727,"While I'm sure this is a great machine there are a few issues. The ""new"" Pangolin is using a previous generation 8945HS (which is a decent processor mind you). The latest chip in this class is of course the HX370 which is superior in every way. My guess is they can't move all those Intel machines they put out a few years ago because... well you know why. As a result they have to make their next gen lineup as cheap as possible and probably got a good deal on these older chips. They used to have like one or two token AMD machines with clearly inferior specs than their Intel machines and now they're stuck with an overstock. It's kind of sad to see such a mistake from a good company like this. I hope it doesn't happen again.",,deal
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@cameron_bosch,"Unfortunately, that's the price for most good laptops. $900 is the bare minimum for something recent that's good. And you probably won't get upgradable RAM.",,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@ultimatums1,​@@cameron_bosch not true. my hp ($320) has ryzen 3 (not an impressive cpu by all means) but the ram is upgradable up to 32 GB (cost me $57) and a 2TB M.2 that cost me $119. and i can fairly run games on medium settings up to 2015 games. they are not encouraging entry level linux users with that kind of price tag.,,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@MagmaSlime123,"While System76's stuff is cool, they aren't gonna be as famous as most OEMs with prices that high. I'm no laptop user, I got a Steam Deck and it does what I need it to.",,price
comment,Tk5dJj3FGio,System76 Pangolin Review: The Best Linux Laptop in 2025?,Learn Linux TV,https://www.youtube.com/watch?v=Tk5dJj3FGio,@cameron_bosch,And that's a big problem. You're paying high prices for one to two generation old hardware.  I cannot justify that for these prices.,,price
comment,i7LnKBplvak,Rapid tree climbing #pangolin #animals,TV Wildlife,https://www.youtube.com/watch?v=i7LnKBplvak,@shirsadebadhikary,Skin ❌❌ Taste❌❌ Conservation✅✅,,skin
comment,eHaWRSFXrPo,PANGOLIN पैंगोलिन दुनिया में सबसे अधिक तस्करी वाला जानवर The world&#39;s Trafficked.@zargarnewtalent,ZARGAR NEW TALENT,https://www.youtube.com/watch?v=eHaWRSFXrPo,@krishnatamang2415,Kitna he price yeska,,price
comment,D-UKCOXtKQk,विश्व पैंगोलिन दिवस | World Pangolin Day 2024 | Hindi,Wildlife Conservation Trust,https://www.youtube.com/watch?v=D-UKCOXtKQk,@DineshKumar-fi4xv,contact?,,contact
comment,M9PTXG6ywfE,Pangolin: The MOST Trafficked Mammal In the World #pangolin #mammal #parchamcurrentaffairs,Parcham Classes,https://www.youtube.com/watch?v=M9PTXG6ywfE,@amitbiswas9356,Pangolin ka skin kya kaam me ATA hai Assam me smuggling hota hai,,skin
comment,fYuNzWLJBeg,Pangolin  in Peril: A Wildlife Crisis,Animal Fact Zone,https://www.youtube.com/watch?v=fYuNzWLJBeg,@juliaelrod2154,We need to start a breeding program for them in zoos if we're not already. Poaching is wiping them out.,,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@Animalsaleschanell,One pangolin come here my home for sale brother,,for sale
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@donarthiazi2443,Just an anteater... no big deal 🤷,,deal
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@MiTsuRiN09,Pangolins are adorable~ and to think pangolins are one of the most poached animal is just horrible 😢 The medicine made from them have no proven medicinal value. Malayan Pangolins are critically endangered 💔,,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@kellydelerenzo262,"They’re also near to extinction and they’re also protected and they’re also hunted by poachers, unfortunately",,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@AussieRonkey,"It is so sad that some can see such an amazing, unique, elegant and beautiful creature and the first thought is ""People will pay a hefty price for that!"". Thank you so much Forest for all you do for conservation.",,price
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@thriftybins,My dream is to hold a tiger cub I would fall apart❤,,tiger
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@charitys9651,we must save them and stop the poaching!,,poach
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@normallymute0131,Would love to hold a snow leopard. Absolutely gorgeous animals,,leopard
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@bladingscenery111,Animals that I want to cuddle with list: Tiger Lion Snake Dogs Cats Pangolins Armadillos Leopards Panthers,,"leopard, tiger"
comment,-B7ZpCwGn34,What Is Your Bucket List Animal Cuddle Buddy?,Forrest Galante,https://www.youtube.com/watch?v=-B7ZpCwGn34,@Fghgffhj-ex3ok,"They get poached a lot. A big obstacles for conservationists is that one can easily go up, pick them up and toss them in a bag. They can’t run very fast. They don’t bite or scratch. They just curl up in a ball. It’s so sweet and endearing; and so sad that people have to exploit it like they do. This is why we can’t have nice things.",,poach
